"affected_assets","affected_companies","critical_problems","high_problems","id","low_problems","medium_problems","software_name","software_type","total_count","total_problems"
"2","2","0","0","16253761;19193655;20386589","1","0","1Password","installedprogram","2070","1"
"3","2","0","10","875881;299268397;344770651","1","1","7-Zip 16.04 (x64)","installedprogram","2070","12"
"2","1","0","6","345893801","1","1","7-Zip 18.05 (x64)","installedprogram","2070","8"
"1","1","0","6","348972922","1","1","7-Zip 19.00","installedprogram","2070","8"
"4","3","0","6","345577065;369775937","1","1","7-Zip 19.00 (x64)","installedprogram","2070","8"
